global_step,day,day_step,phase,phase_step,minute,time_label,rr,priority,delta_rr,delta_priority,note
162,3,18,corroboration,1,360.0,06:00,62.995,46.394,1.561,-0.931,
163,3,19,corroboration,2,380.0,06:20,64.173,46.18,1.178,-0.214,
164,3,20,corroboration,3,400.0,06:40,64.259,45.451,0.086,-0.729,
165,3,21,corroboration,4,420.0,07:00,65.903,44.896,1.644,-0.556,
166,3,22,corroboration,5,440.0,07:20,67.16,44.681,1.257,-0.215,
167,3,23,corroboration,6,460.0,07:40,67.495,44.257,0.335,-0.424,
168,3,24,corroboration,7,480.0,08:00,67.89,43.541,0.395,-0.716,
169,3,25,corroboration,8,500.0,08:20,67.919,43.071,0.029,-0.47,
170,3,26,corroboration,9,520.0,08:40,69.039,42.382,1.12,-0.689,
171,3,27,corroboration,10,540.0,09:00,70.209,42.263,1.17,-0.119,
172,3,28,corroboration,11,560.0,09:20,70.69,42.099,0.481,-0.164,
173,3,29,corroboration,12,580.0,09:40,72.193,41.582,1.503,-0.517,
174,3,30,corroboration,13,600.0,10:00,72.816,41.272,0.623,-0.31,
175,3,31,corroboration,14,620.0,10:20,73.047,40.573,0.231,-0.699,
176,3,32,corroboration,15,640.0,10:40,74.228,40.146,1.181,-0.427,
177,3,33,corroboration,16,660.0,11:00,75.579,40.175,1.351,0.029,
178,3,34,corroboration,17,680.0,11:20,77.324,39.697,1.745,-0.478,
179,3,35,corroboration,18,700.0,11:40,77.691,38.075,0.367,-1.622,
180,3,36,contradiction,0,720.0,12:00,76.143,40.105,-1.549,2.03,Contradiction surfaced; recalibrating plan.
181,3,37,contradiction,1,740.0,12:20,73.674,41.91,-2.468,1.805,
182,3,38,contradiction,2,760.0,12:40,72.435,43.356,-1.239,1.446,
183,3,39,contradiction,3,780.0,13:00,70.681,45.048,-1.754,1.693,
184,3,40,contradiction,4,800.0,13:20,67.444,46.019,-3.237,0.971,
185,3,41,contradiction,5,820.0,13:40,64.85,48.504,-2.594,2.485,
186,3,42,contradiction,6,840.0,14:00,64.45,49.904,-0.399,1.401,
187,3,43,contradiction,7,860.0,14:20,62.33,50.61,-2.121,0.706,
188,3,44,contradiction,8,880.0,14:40,61.336,52.878,-0.994,2.268,
189,3,45,contradiction,9,900.0,15:00,58.088,55.156,-3.248,2.278,
190,3,46,contradiction,10,920.0,15:20,56.071,56.449,-2.017,1.293,
191,3,47,contradiction,11,940.0,15:40,54.932,58.514,-1.139,2.065,
192,3,48,contradiction,12,960.0,16:00,52.614,59.756,-2.318,1.242,
193,3,49,contradiction,13,980.0,16:20,49.467,61.366,-3.147,1.61,
194,3,50,decay,0,1000.0,16:40,49.303,61.155,-0.164,-0.211,Follow-ups scheduled; natural decay begins.
195,3,51,decay,1,1020.0,17:00,49.63,61.207,0.327,0.052,
196,3,52,decay,2,1040.0,17:20,49.41,60.844,-0.22,-0.363,
197,3,53,decay,3,1060.0,17:40,49.179,60.316,-0.231,-0.528,
198,3,54,decay,4,1080.0,18:00,49.805,59.837,0.626,-0.48,
199,3,55,decay,5,1100.0,18:20,50.378,59.089,0.573,-0.748,
200,3,56,decay,6,1120.0,18:40,50.984,58.408,0.606,-0.681,
201,3,57,decay,7,1140.0,19:00,51.472,58.153,0.488,-0.255,
202,3,58,decay,8,1160.0,19:20,51.38,57.445,-0.092,-0.708,
203,3,59,decay,9,1180.0,19:40,51.721,56.939,0.34,-0.507,
204,3,60,decay,10,1200.0,20:00,52.103,56.337,0.383,-0.601,
205,3,61,decay,11,1220.0,20:20,52.448,56.46,0.345,0.123,
206,3,62,decay,12,1240.0,20:40,52.671,56.037,0.223,-0.423,
207,3,63,decay,13,1260.0,21:00,52.665,55.802,-0.006,-0.235,
208,3,64,decay,14,1280.0,21:20,53.21,55.247,0.545,-0.555,
209,3,65,decay,15,1300.0,21:40,53.358,54.648,0.148,-0.599,
210,3,66,decay,16,1320.0,22:00,53.277,54.455,-0.082,-0.193,
211,3,67,decay,17,1340.0,22:20,54.041,53.972,0.764,-0.483,
212,3,68,decay,18,1360.0,22:40,53.873,53.55,-0.168,-0.423,
213,3,69,decay,19,1380.0,23:00,54.346,52.68,0.473,-0.87,
214,3,70,decay,20,1400.0,23:20,54.344,52.12,-0.002,-0.559,
215,3,71,decay,21,1420.0,23:40,54.514,51.99,0.17,-0.13,
216,4,0,self_report,0,0.0,00:00,53.991,52.575,-0.526,-0.596,Session opened with fresh context from member.
217,4,1,self_report,1,20.0,00:20,53.731,52.541,-0.261,-0.034,
218,4,2,self_report,2,40.0,00:40,54.216,52.382,0.486,-0.159,
219,4,3,self_report,3,60.0,01:00,54.589,52.115,0.373,-0.268,
220,4,4,self_report,4,80.0,01:20,54.669,51.891,0.08,-0.224,
221,4,5,self_report,5,100.0,01:40,54.455,51.281,-0.214,-0.609,
222,4,6,self_report,6,120.0,02:00,55.131,51.127,0.676,-0.155,
223,4,7,self_report,7,140.0,02:20,55.125,50.809,-0.005,-0.317,
224,4,8,self_report,8,160.0,02:40,55.805,50.819,0.679,0.01,
225,4,9,self_report,9,180.0,03:00,56.39,50.716,0.586,-0.103,
226,4,10,self_report,10,200.0,03:20,57.014,50.541,0.624,-0.175,
227,4,11,self_report,11,220.0,03:40,56.926,50.136,-0.088,-0.405,
228,4,12,self_report,12,240.0,04:00,57.528,49.116,0.602,-1.02,
229,4,13,self_report,13,260.0,04:20,58.288,48.839,0.76,-0.277,
230,4,14,self_report,14,280.0,04:40,58.607,48.571,0.319,-0.269,
231,4,15,self_report,15,300.0,05:00,59.724,48.276,1.117,-0.295,
232,4,16,self_report,16,320.0,05:20,60.626,47.824,0.902,-0.451,
233,4,17,corroboration,0,340.0,05:40,61.636,47.232,1.01,-0.592,Evidence corroborated; RR accelerating.
234,4,18,corroboration,1,360.0,06:00,63.056,46.264,1.421,-0.969,
235,4,19,corroboration,2,380.0,06:20,64.684,45.966,1.628,-0.298,
236,4,20,corroboration,3,400.0,06:40,66.311,45.62,1.627,-0.346,
237,4,21,corroboration,4,420.0,07:00,66.633,44.81,0.322,-0.809,
238,4,22,corroboration,5,440.0,07:20,68.225,44.617,1.592,-0.194,
239,4,23,corroboration,6,460.0,07:40,67.976,44.166,-0.25,-0.451,
240,4,24,corroboration,7,480.0,08:00,69.03,43.986,1.055,-0.18,
241,4,25,corroboration,8,500.0,08:20,69.319,43.496,0.288,-0.49,
242,4,26,corroboration,9,520.0,08:40,70.284,42.99,0.966,-0.507,
243,4,27,corroboration,10,540.0,09:00,71.434,42.997,1.149,0.008,
244,4,28,corroboration,11,560.0,09:20,72.382,42.344,0.948,-0.653,
245,4,29,corroboration,12,580.0,09:40,72.764,41.407,0.382,-0.938,
246,4,30,corroboration,13,600.0,10:00,73.156,40.468,0.392,-0.939,
247,4,31,corroboration,14,620.0,10:20,73.872,39.286,0.716,-1.182,
248,4,32,corroboration,15,640.0,10:40,74.503,38.744,0.631,-0.541,
249,4,33,corroboration,16,660.0,11:00,75.096,38.275,0.593,-0.469,
250,4,34,corroboration,17,680.0,11:20,77.504,38.82,2.408,0.545,
251,4,35,corroboration,18,700.0,11:40,77.5,37.817,-0.004,-1.003,
252,4,36,contradiction,0,720.0,12:00,76.403,39.089,-1.097,1.271,Contradiction surfaced; recalibrating plan.
253,4,37,contradiction,1,740.0,12:20,73.823,41.398,-2.58,2.309,
254,4,38,contradiction,2,760.0,12:40,71.986,43.486,-1.837,2.089,
255,4,39,contradiction,3,780.0,13:00,69.436,45.641,-2.55,2.155,
256,4,40,contradiction,4,800.0,13:20,66.415,47.365,-3.022,1.724,
257,4,41,contradiction,5,820.0,13:40,64.206,50.082,-2.208,2.717,
258,4,42,contradiction,6,840.0,14:00,62.218,51.704,-1.988,1.622,
259,4,43,contradiction,7,860.0,14:20,60.433,54.481,-1.785,2.777,
260,4,44,contradiction,8,880.0,14:40,59.178,55.581,-1.255,1.1,
261,4,45,contradiction,9,900.0,15:00,58.719,55.771,-0.458,0.189,
262,4,46,contradiction,10,920.0,15:20,56.51,57.361,-2.21,1.59,
263,4,47,contradiction,11,940.0,15:40,54.103,59.482,-2.407,2.121,
264,4,48,contradiction,12,960.0,16:00,51.608,61.638,-2.495,2.156,
265,4,49,contradiction,13,980.0,16:20,51.376,63.268,-0.232,1.63,
266,4,50,decay,0,1000.0,16:40,51.563,62.574,0.187,-0.694,Follow-ups scheduled; natural decay begins.
267,4,51,decay,1,1020.0,17:00,51.828,62.072,0.264,-0.502,
268,4,52,decay,2,1040.0,17:20,51.717,61.602,-0.111,-0.47,
269,4,53,decay,3,1060.0,17:40,51.556,61.123,-0.161,-0.48,
270,4,54,decay,4,1080.0,18:00,52.026,60.757,0.469,-0.366,
271,4,55,decay,5,1100.0,18:20,52.041,60.472,0.016,-0.285,
272,4,56,decay,6,1120.0,18:40,52.349,59.803,0.307,-0.669,
273,4,57,decay,7,1140.0,19:00,52.985,59.523,0.637,-0.28,
274,4,58,decay,8,1160.0,19:20,53.674,58.911,0.689,-0.611,
275,4,59,decay,9,1180.0,19:40,54.405,58.148,0.731,-0.764,
276,4,60,decay,10,1200.0,20:00,54.497,57.547,0.091,-0.6,
277,4,61,decay,11,1220.0,20:20,54.764,57.161,0.268,-0.387,
278,4,62,decay,12,1240.0,20:40,53.824,56.572,-0.94,-0.589,
279,4,63,decay,13,1260.0,21:00,53.834,55.951,0.009,-0.621,
280,4,64,decay,14,1280.0,21:20,53.822,55.752,-0.012,-0.199,
281,4,65,decay,15,1300.0,21:40,54.01,55.737,0.188,-0.015,
282,4,66,decay,16,1320.0,22:00,54.066,54.801,0.056,-0.936,
283,4,67,decay,17,1340.0,22:20,54.139,53.945,0.073,-0.856,
284,4,68,decay,18,1360.0,22:40,53.932,53.43,-0.207,-0.515,
285,4,69,decay,19,1380.0,23:00,53.921,52.927,-0.01,-0.503,
286,4,70,decay,20,1400.0,23:20,54.074,52.501,0.153,-0.426,
287,4,71,decay,21,1420.0,23:40,54.949,52.274,0.875,-0.228,
288,5,0,self_report,0,0.0,00:00,54.42,52.273,0.865,-0.609,Session opened with fresh context from member.
289,5,1,self_report,1,20.0,00:20,54.344,52.248,-0.076,-0.025,
290,5,2,self_report,2,40.0,00:40,54.165,51.341,-0.179,-0.907,
291,5,3,self_report,3,60.0,01:00,54.587,50.928,0.422,-0.413,
292,5,4,self_report,4,80.0,01:20,54.539,50.468,-0.048,-0.461,
293,5,5,self_report,5,100.0,01:40,55.389,50.193,0.85,-0.274,
294,5,6,self_report,6,120.0,02:00,55.86,50.464,0.471,0.27,
295,5,7,self_report,7,140.0,02:20,56.186,50.484,0.327,0.02,
296,5,8,self_report,8,160.0,02:40,57.212,49.796,1.026,-0.688,
297,5,9,self_report,9,180.0,03:00,57.136,49.611,-0.076,-0.185,
298,5,10,self_report,10,200.0,03:20,57.029,49.472,-0.107,-0.139,
299,5,11,self_report,11,220.0,03:40,57.02,49.42,-0.009,-0.052,
300,5,12,self_report,12,240.0,04:00,57.339,49.074,0.32,-0.346,
301,5,13,self_report,13,260.0,04:20,58.354,49.336,1.015,0.261,
302,5,14,self_report,14,280.0,04:40,58.701,49.363,0.347,0.027,
303,5,15,self_report,15,300.0,05:00,58.983,48.992,0.282,-0.371,
304,5,16,self_report,16,320.0,05:20,60.432,47.442,1.449,-1.55,
305,5,17,corroboration,0,340.0,05:40,61.464,47.158,1.032,-0.284,Evidence corroborated; RR accelerating.
306,5,18,corroboration,1,360.0,06:00,62.096,45.644,0.632,-1.514,
307,5,19,corroboration,2,380.0,06:20,63.652,45.374,1.556,-0.27,
308,5,20,corroboration,3,400.0,06:40,65.084,44.822,1.432,-0.552,
309,5,21,corroboration,4,420.0,07:00,65.896,44.41,0.812,-0.412,
310,5,22,corroboration,5,440.0,07:20,66.098,44.23,0.202,-0.18,
311,5,23,corroboration,6,460.0,07:40,66.751,43.936,0.654,-0.294,
312,5,24,corroboration,7,480.0,08:00,67.587,43.016,0.836,-0.92,
313,5,25,corroboration,8,500.0,08:20,68.11,42.325,0.522,-0.691,
314,5,26,corroboration,9,520.0,08:40,70.073,42.408,1.963,0.084,
315,5,27,corroboration,10,540.0,09:00,70.83,42.033,0.757,-0.375,
316,5,28,corroboration,11,560.0,09:20,71.375,41.524,0.545,-0.509,
317,5,29,corroboration,12,580.0,09:40,72.45,40.665,1.075,-0.859,
318,5,30,corroboration,13,600.0,10:00,72.683,40.279,0.233,-0.386,
319,5,31,corroboration,14,620.0,10:20,73.913,39.814,1.23,-0.464,
320,5,32,corroboration,15,640.0,10:40,75.496,39.815,1.583,0.001,
321,5,33,corroboration,16,660.0,11:00,75.897,39.445,0.401,-0.37,
322,5,34,corroboration,17,680.0,11:20,77.289,38.334,1.392,-1.112,
323,5,35,corroboration,18,700.0,11:40,77.66,37.631,0.371,-0.703,
324,5,36,contradiction,0,720.0,12:00,76.213,40.161,-1.447,2.53,Contradiction surfaced; recalibrating plan.
325,5,37,contradiction,1,740.0,12:20,74.42,41.831,-1.793,1.671,
326,5,38,contradiction,2,760.0,12:40,73.337,42.777,-1.083,0.946,
327,5,39,contradiction,3,780.0,13:00,72.135,43.892,-1.202,1.115,
328,5,40,contradiction,4,800.0,13:20,70.238,45.44,-1.897,1.548,
329,5,41,contradiction,5,820.0,13:40,68.026,47.227,-2.212,1.787,
330,5,42,contradiction,6,840.0,14:00,65.591,48.983,-2.435,1.756,
331,5,43,contradiction,7,860.0,14:20,63.898,51.817,-1.693,2.834,
332,5,44,contradiction,8,880.0,14:40,61.572,54.45,-2.326,2.633,
333,5,45,contradiction,9,900.0,15:00,60.214,56.764,-1.357,2.314,
334,5,46,contradiction,10,920.0,15:20,57.625,58.202,-2.589,1.438,
335,5,47,contradiction,11,940.0,15:40,55.541,59.648,-2.084,1.446,
336,5,48,contradiction,12,960.0,16:00,53.214,60.997,-2.328,1.349,
337,5,49,contradiction,13,980.0,16:20,49.244,62.025,-3.97,1.028,
338,5,50,decay,0,1000.0,16:40,49.466,61.206,0.222,-0.819,Follow-ups scheduled; natural decay begins.
339,5,51,decay,1,1020.0,17:00,49.681,61.26,0.215,0.054,
340,5,52,decay,2,1040.0,17:20,50.325,60.838,0.644,-0.422,
341,5,53,decay,3,1060.0,17:40,50.804,60.64,0.48,-0.198,
342,5,54,decay,4,1080.0,18:00,50.444,60.083,-0.361,-0.557,
343,5,55,decay,5,1100.0,18:20,50.703,59.693,0.259,-0.39,
344,5,56,decay,6,1120.0,18:40,51.128,59.186,0.425,-0.507,
345,5,57,decay,7,1140.0,19:00,51.423,58.558,0.294,-0.628,
346,5,58,decay,8,1160.0,19:20,51.46,58.355,0.037,-0.203,
347,5,59,decay,9,1180.0,19:40,51.215,58.019,-0.245,-0.336,
348,5,60,decay,10,1200.0,20:00,51.474,57.703,0.259,-0.316,
349,5,61,decay,11,1220.0,20:20,52.138,56.994,0.664,-0.709,
350,5,62,decay,12,1240.0,20:40,52.792,56.772,0.654,-0.223,
351,5,63,decay,13,1260.0,21:00,53.685,56.627,0.892,-0.145,
